,,,,,,,,,,,,,,,,,
,APP-CODE,,CAR.01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Codice,Marca,,,,Veicolo,,,,Tecnico 1,Mario Rossi,,,,Data
,,,,,,,,,,,,Tecnico 2,John Doe,,,,4/27/2026
,Codice difetto,Elem,Descrizione difetto,Visto,G,Estensione,,,Intensità,,,PS,NA,NR,NP,FOTO,Note
,,,,,,0.2,0.5,1,0.2,0.5,1,,,,,,
,01-CAR-01,Carrozzeria,Alterazione trattamento verniciante,FALSE,1,FALSE,FALSE,FALSE,,,FALSE,,FALSE,FALSE,FALSE,,
,01-CAR-02,,Ossidazione/corrosione lamiera,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,01-CAR-03,,Deformazione pannelli,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,01-CAR-05,,Difetti saldatura strutturale,FALSE,4,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
,01-CAR-06,,Fuori allineamento geometrico,FALSE,5,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,01-ILL-08,Illuminazione,Gruppo ottico danneggiato o appannato,FALSE,2,,,FALSE,,,FALSE,,FALSE,FALSE,FALSE,,
,01-ILL-09,,Illuminazione insufficiente o assente,FALSE,2,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,
,01-ILL-10,,Cavi impianto danneggiati,FALSE,2,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,
,01-ILL-12,,Impianti non protetti o scoperti,FALSE,2,,,FALSE,,,FALSE,,FALSE,FALSE,FALSE,,
,01-ILL-13,,Connettori scollegati o ossidati,FALSE,2,,,FALSE,,,FALSE,,FALSE,FALSE,FALSE,,
,01-FIS-01,Fissaggi,Ossidazione bulloneria,FALSE,2,,,FALSE,,,FALSE,,FALSE,FALSE,FALSE,,
,01-FIS-02,,Corrosione staffaggi,FALSE,4,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
,01-FIS-04,,Deformazione supporti,FALSE,4,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,01-FIS-07,,Umidità vano motore (endoscopia),FALSE,2,,,FALSE,,,FALSE,,FALSE,FALSE,FALSE,,
,01-TEL-01,Telaio,Ammaloramento struttura portante,FALSE,2,FALSE,FALSE,FALSE,,,FALSE,,FALSE,FALSE,FALSE,,
,01-TEL-02,,Fessure o cricche sul telaio,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,01-TEL-03,,Ristagno d'acqua nel sottoscocca,FALSE,2,FALSE,FALSE,FALSE,,,FALSE,,FALSE,FALSE,FALSE,,
,01-TEL-04,,Erosione rivestimento antirombo,FALSE,3,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,
,01-RUG-01,,Presenza di ruggine passante,FALSE,0,,,FALSE,,,FALSE,,,,FALSE,,
,10-SEN-01,,| Presenza sensori usura anomala,FALSE,0,,,FALSE,,,FALSE,,,,FALSE,,
,Note elemento,,,,,,,,,,,,,,,,
